"id","type","periods__|","periods__|__id","periods__|__type","periods__|__source__locator","periods__|__label","periods__|__language","periods__|__languageTag","periods__|__broader","periods__|__derivedFrom__-","periods__|__localizedLabels__en__-","@context__@base","periods__|__spatialCoverage__id","periods__|__spatialCoverage__label","periods__|__spatialCoverageDescription","periods__|__start__in__year","periods__|__start__label","periods__|__start__in__earliestYear","periods__|__start__in__latestYear","periods__|__stop__in__year","periods__|__stop__label","periods__|__stop__in__earliestYear","periods__|__stop__in__latestYear","periods__|__note","periods__|__editorialNote","source__citation","source__title","source__url","source__yearPublished","source__creators__name","editorialNote","@context","primaryTopicOf__id","primaryTopicOf__inDataset__id","primaryTopicOf__inDataset__changes"
"p0qkjhb","Authority","p0qkjhbvhv4","p0qkjhbvhv4","Period","p. 214, fig. 4","Paleoindian","http://lexvo.org/id/iso639-1/en","en","","","Paleo-Indian","","http://www.wikidata.org/entity/Q1439","Texas","Central Texas","-9050","11000 B.P.","","","-6050","8000 B.P.","","","","Dates in BP from divisions in chart in figure 4. Earliest radiocarbon date for ""Paleoindian"" is 10625 BP, but chart begins at 11000.","Prewitt, E. 1983. “From Circleville to Toyah: comments on Central Texas chronology.” Bulletin of the Texas Archaeological Society 54: 201–238. https://texashistory.unt.edu/ark:/67531/metapth1013859/.","From Circleville to Toyah: comments on Central Texas chronology","https://texashistory.unt.edu/ark:/67531/metapth1013859/","1983","Elton Prewitt","Journal volume date is 1983, but published in 1985.","http://n2t.net/ark:/99152/p0c","p0qkjhb.json","p0d","p0h#changes"
"","","p0qkjhbrq6c","p0qkjhbrq6c","Period","p. 211, fig. 1","Archaic","http://lexvo.org/id/iso639-1/en","en","","p0bw9m85g3f","Archaic","http://n2t.net/ark:/99152/","http://www.wikidata.org/entity/Q1439","Texas","Central Texas","-6550","8500 B.P.","","","0700","1250 B.P.","","","","Start date parsed from general chart in figure 1, with end date provided by chart in figure 2.","","","","","","","","","",""
"","","p0qkjhbpd2d","p0qkjhbpd2d","Period","p. 215, fig. 5","Early Archaic","http://lexvo.org/id/iso639-1/en","en","p0qkjhbrq6c","","Early Archaic","","http://www.wikidata.org/entity/Q1439","Texas","Central Texas","-6550","8500 B.P.","","","-2650","4600 B.P.","","","","Parsed from chart on p. 215.","","","","","","","","","",""
"","","p0qkjhb7dxw","p0qkjhb7dxw","Period","p. 215, fig. 5","Middle Archaic","http://lexvo.org/id/iso639-1/en","en","p0qkjhbrq6c","","Middle Archaic","","http://www.wikidata.org/entity/Q1439","Texas","Central Texas","-2650","4600 B.P.","","","-0300","2250 B.P.","","","","Dates from chart on p. 215.","","","","","","","","","",""
"","","p0qkjhbj9mg","p0qkjhbj9mg","Period","p. 215, fig. 5","Late Archaic","http://lexvo.org/id/iso639-1/en","en","p0qkjhbrq6c","","Late Archaic","","http://www.wikidata.org/entity/Q1439","Texas","Central Texas","-0300","2250 B.P.","","","0700","1250 B.P.","","","","Dates from chart on p. 215.","","","","","","","","","",""
"","","p0qkjhb4hmc","p0qkjhb4hmc","Period","p. 215, fig. 5","Neoarchaic","http://lexvo.org/id/iso639-1/en","en","","p0bw9m8qwhn","Neoarchaic","","http://www.wikidata.org/entity/Q1439","Texas","Central Texas","0700","1250 B.P.","","","1750","200 B.P.","","","","Dates from chart on p. 215.","","","","","","","","","",""
"","","p0qkjhb8cps","p0qkjhb8cps","Period","p. 215, fig. 5","Historic","http://lexvo.org/id/iso639-1/en","en","","","Historic","","http://www.wikidata.org/entity/Q1439","Texas","Central Texas","1750","200 B.P.","","","1950","0 B.P.","","","","Dates from chart on p. 215.","","","","","","","","","",""
"","","p0qkjhbm5n6","p0qkjhbm5n6","Period","p. 215, fig. 5","Circleville","http://lexvo.org/id/iso639-1/en","en","p0qkjhbpd2d","p0bw9m8c3c9","Circleville","","http://www.wikidata.org/entity/Q1439","Texas","Central Texas","-6550","8500 B.P.","","","-4850","6800 B.P.","","","","Dates from chart on p. 215.","","","","","","","","","",""
"","","p0qkjhbnpmz","p0qkjhbnpmz","Period","p. 215, fig. 5","San Geronimo","http://lexvo.org/id/iso639-1/en","en","p0qkjhbpd2d","p0bw9m83vdh","San Geronimo","","http://www.wikidata.org/entity/Q1439","Texas","Central Texas","-4850","6800 B.P.","","","-4150","6100 B.P.","","","","Dates from chart on p. 215.","","","","","","","","","",""
"","","p0qkjhbrv6d","p0qkjhbrv6d","Period","p. 215, fig. 5","Jarrell","http://lexvo.org/id/iso639-1/en","en","p0qkjhbpd2d","p0bw9m8gcgw","Jarrell","","http://www.wikidata.org/entity/Q1439","Texas","Central Texas","-4150","6100 B.P.","","","-3150","5100 B.P.","","","","Dates from chart on p. 215.","","","","","","","","","",""
"","","p0qkjhbf8k8","p0qkjhbf8k8","Period","p. 215, fig. 5","Oakalla","http://lexvo.org/id/iso639-1/en","en","p0qkjhbpd2d","p0bw9m8p6nf","Oakalla","","http://www.wikidata.org/entity/Q1439","Texas","Central Texas","-3150","5100 B.P.","","","-2650","4600 B.P.","","","","Dates from chart on p. 215.","","","","","","","","","",""
"","","p0qkjhbp99p","p0qkjhbp99p","Period","p. 215, fig. 5","Clear Fork","http://lexvo.org/id/iso639-1/en","en","p0qkjhb7dxw","p0bw9m8pzcr","Clear Fork","","http://www.wikidata.org/entity/Q1439","Texas","Central Texas","-2650","4600 B.P.","","","-2150","4100 B.P.","","","","Dates from chart on p. 215.","","","","","","","","","",""
"","","p0qkjhb4s9r","p0qkjhb4s9r","Period","p. 215, fig. 5","Marshall Ford","http://lexvo.org/id/iso639-1/en","en","p0qkjhb7dxw","p0bw9m8df3q","Marshall Ford","","http://www.wikidata.org/entity/Q1439","Texas","Central Texas","-2150","4100 B.P.","","","-1550","3500 B.P.","","","","Dates from chart on p. 215.","","","","","","","","","",""
"","","p0qkjhbfg9f","p0qkjhbfg9f","Period","p. 215, fig. 5","Round Rock","http://lexvo.org/id/iso639-1/en","en","p0qkjhb7dxw","p0bw9m8t4k7","Round Rock","","http://www.wikidata.org/entity/Q1439","Texas","Central Texas","-1550","3500 B.P.","","","-0650","2600 B.P.","","","","Dates from chart on p. 215.","","","","","","","","","",""
"","","p0qkjhbjmhw","p0qkjhbjmhw","Period","p. 215, fig. 5","San Marcos","http://lexvo.org/id/iso639-1/en","en","p0qkjhb7dxw","p0bw9m86qh2","San Marcos","","http://www.wikidata.org/entity/Q1439","Texas","Central Texas","-0650","2600 B.P.","","","-0300","2250 B.P.","","","","Dates from chart on p. 215.","","","","","","","","","",""
"","","p0qkjhbpg5s","p0qkjhbpg5s","Period","p. 215, fig. 5","Uvalde","http://lexvo.org/id/iso639-1/en","en","p0qkjhbj9mg","p0bw9m853bn","Uvalde","","http://www.wikidata.org/entity/Q1439","Texas","Central Texas","-0300","2250 B.P.","","","0150","1800 B.P.","","","","Dates from chart on p. 215.","","","","","","","","","",""
"","","p0qkjhbzth5","p0qkjhbzth5","Period","p. 215, fig. 5","Twin Sisters","http://lexvo.org/id/iso639-1/en","en","p0qkjhbj9mg","p0bw9m88mx8","Twin Sisters","","http://www.wikidata.org/entity/Q1439","Texas","Central Texas","0150","1800 B.P.","","","0550","1400 B.P.","","","","Dates from chart on p. 215.","","","","","","","","","",""
"","","p0qkjhbt454","p0qkjhbt454","Period","p. 215, fig. 5","Driftwood","http://lexvo.org/id/iso639-1/en","en","p0qkjhbj9mg","p0bw9m8bttc","Driftwood","","http://www.wikidata.org/entity/Q1439","Texas","Central Texas","0550","1400 B.P.","","","0700","1250 B.P.","","","","Dates from chart on p. 215.","","","","","","","","","",""
"","","p0qkjhbnbq9","p0qkjhbnbq9","Period","pp. 225-228","Austin","http://lexvo.org/id/iso639-1/en","en","p0qkjhb4hmc","p0bw9m8trxt","Austin","","http://www.wikidata.org/entity/Q1439","Texas","Central Texas","","1350 B.P./1100 B.P.","0600","0850","","800 B.P./550 B.P.","1150","1400","""... the Austin phase appeared somewhere around 1350 B.P. in the northern area that extends from about Cleburne to Waco. In the middle area that extends from just south of Waco to about Round Rock, the beginning dates are around 1250 B.P. The Austin phase begins in the southern area (extending from about Austin to San Antonio) at about 1100 B.P.... The ending dates show an analogous pattern. The Austin phase ends at about 800 B.P. in the northern area, 700 B.P in the middle area, and 550 B.P. in the southern area"" (p. 225).","The chart on p. 215 provides single start and end dates (1250 BP/650 BP), but the text on pp. 225-228 indicates a geographically-dependent progression with start and end dates that run earlier to later from north to south.","","","","","","","","","",""
"","","p0qkjhb529j","p0qkjhb529j","Period","pp. 225-228","Toyah","http://lexvo.org/id/iso639-1/en","en","p0qkjhb4hmc","p0bw9m8rf48","Toyah","","http://www.wikidata.org/entity/Q1439","Texas","Central Texas","","700 B.P./500 B.P.","1250","1450","","350 B.P./200 B.P.","1600","1750","""The Toyah phase appears at about 700 B.P. in the northern area, at about 600 B.P. in the middle area, and at about 500 B.P. in the southern area... The ending dates are again analogous: 350 B.P. in the northern area, 250 B.P. in the middle area, and 200 B.P. in the southern area"" (p. 225).","The chart on p. 215 provides single start and end dates (650 BP/200 BP), but the text on pp. 225-228 indicates a geographically-dependent progression with start and end dates that run earlier to later from north to south.","","","","","","","","","",""
